School Name,School State,School Ownership,Mean Earnings (6 Yrs after Entry),Std. Deviation Earning (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Std. Deviation Earning (10 Yrs after Entry),150% Completion Rate at 4Yr (%),Retention Rate 4Yr (%)
Seton Hall University,NJ,Private NonProfit,48200.0,28200.0,63700.0,46100.0,64.05999999999999,85.32
Barnard College,NY,Private NonProfit,52800.0,42700.0,69700.0,58300.0,90.88,96.17
Stevens Institute of Technology,NJ,Private NonProfit,67900.0,32600.0,91900.0,65500.0,82.82000000000002,94.6
Clarkson University,NY,Private NonProfit,56400.0,27500.0,74200.0,45400.0,70.78999999999998,86.74
Metropolitan College of New York,NY,Private NonProfit,33900.0,25300.0,40100.0,29100.0,25.4,34.04
CUNY City College,NY,Public,36800.0,26900.0,50900.0,34700.0,46.86,85.69
University of Nevada-Las Vegas,NV,Public,39300.0,24600.0,49600.0,33500.0,40.64,77.12
Concordia University-Nebraska,NE,Private NonProfit,36700.0,20500.0,44100.0,29900.0,67.39,73.78
University of Nebraska-Lincoln,NE,Public,39900.0,33400.0,52700.0,39900.0,66.64999999999999,82.21000000000002
University of New Hampshire at Manchester,NH,Public,44900.0,25500.0,57700.0,48300.0,55.24,85.71
Peru State College,NE,Public,33800.0,20700.0,39600.0,23000.0,35.39,63.05
College of Saint Mary,NE,Private NonProfit,41400.0,22800.0,43000.0,24200.0,40.0,70.13000000000001
Hastings College,NE,Private NonProfit,37100.0,20100.0,47500.0,28200.0,58.33000000000001,65.08
Centenary University,NJ,Private NonProfit,41700.0,29400.0,49700.0,34800.0,59.52,87.16000000000003
Rivier University,NH,Private NonProfit,44500.0,29100.0,49400.0,30200.0,59.14,77.60000000000002
Granite State College,NH,Public,36400.0,24200.0,39300.0,26800.0,13.51,58.06
Ramapo College of New Jersey,NJ,Public,43100.0,24300.0,56300.0,33100.0,73.24000000000002,86.1
William Paterson University of New Jersey,NJ,Public,37300.0,22800.0,49100.0,34700.0,50.89,75.13
New Mexico Highlands University,NM,Public,29600.0,19000.0,37800.0,23800.0,22.19,52.68000000000001
The College of New Jersey,NJ,Public,49000.0,24800.0,64900.0,40900.0,86.63,93.8
New Mexico Institute of Mining and Technology,NM,Public,49000.0,34100.0,58500.0,39300.0,49.25,76.92
Dominican College of Blauvelt,NY,Private NonProfit,44200.0,28500.0,52500.0,34000.0,42.55,69.15
CUNY Lehman College,NY,Public,36700.0,22900.0,47500.0,29600.0,43.62,85.74000000000002
CUNY Queens College,NY,Public,37200.0,25600.0,52900.0,46300.0,59.96,84.31
CUNY York College,NY,Public,33600.0,23500.0,45300.0,32900.0,30.320000000000004,73.07000000000002
Central Yeshiva Tomchei Tmimim Lubavitz,NY,Private NonProfit,29800.0,40500.0,37100.0,41500.0,14.94,20.97
Hilbert College,NY,Private NonProfit,33300.0,20700.0,47700.0,32300.0,43.32,71.71
LIM College,NY,Private ForProfit,42300.0,22100.0,48900.0,36500.0,54.52,76.19
Marymount Manhattan College,NY,Private NonProfit,34000.0,24100.0,45500.0,34600.0,44.61,73.35000000000002
Iona College,NY,Private NonProfit,45900.0,26300.0,60900.0,41200.0,68.31,77.42
The New School,NY,Private NonProfit,41300.0,33600.0,55200.0,52600.0,67.75,81.58999999999997
St Bonaventure University,NY,Private NonProfit,37700.0,19300.0,52700.0,36900.0,63.77,82.31
The College of Saint Rose,NY,Private NonProfit,36400.0,19500.0,44800.0,23700.0,59.94000000000001,77.18
New York Institute of Technology,NY,Private NonProfit,45500.0,37200.0,68100.0,69600.0,43.51,76.79
Rensselaer Polytechnic Institute,NY,Private NonProfit,66700.0,38400.0,86000.0,45300.0,82.99,92.68
Sarah Lawrence College,NY,Private NonProfit,31400.0,21400.0,48000.0,33400.0,82.25,89.24
St. Joseph's College-New York,NY,Private NonProfit,41600.0,25100.0,53900.0,36200.0,72.45,84.81
Wagner College,NY,Private NonProfit,48300.0,31500.0,64700.0,48800.0,67.29,85.06
SUNY College at Brockport,NY,Public,36200.0,23400.0,45500.0,29900.0,68.13,82.43
SUNY College at Geneseo,NY,Public,39400.0,23800.0,53400.0,31500.0,80.87,87.01
Elizabeth City State University,NC,Public,25100.0,16100.0,32200.0,20400.0,36.82,67.80000000000001
North Carolina Central University,NC,Public,28700.0,18500.0,35300.0,23100.0,42.78,80.74
Valley City State University,ND,Public,37500.0,20200.0,41700.0,24700.0,35.02,71.1
University of Mount Union,OH,Private NonProfit,36600.0,19800.0,48600.0,29700.0,58.89,79.03999999999998
Xavier University,OH,Private NonProfit,44800.0,39100.0,58200.0,38000.0,71.98,87.11
Youngstown State University,OH,Public,32200.0,23100.0,40200.0,28700.0,30.46,75.03
George Fox University,OR,Private NonProfit,42200.0,30800.0,51000.0,36500.0,63.52,81.26
Oral Roberts University,OK,Private NonProfit,33600.0,25100.0,43100.0,35800.0,56.54,82.09
Cabrini University,PA,Private NonProfit,36700.0,20000.0,49600.0,34100.0,59.88,69.64
Cedar Crest College,PA,Private NonProfit,40900.0,22000.0,48700.0,28200.0,56.04,78.77
Pacific University,OR,Private NonProfit,35800.0,21800.0,51400.0,33700.0,58.02,82.25
Cheyney University of Pennsylvania,PA,Public,23700.0,15700.0,31600.0,21500.0,15.920000000000002,65.0
Arcadia University,PA,Private NonProfit,36300.0,22000.0,48000.0,33200.0,61.05,77.09
Bloomsburg University of Pennsylvania,PA,Public,38200.0,22600.0,48100.0,32000.0,61.8,75.5
Reed College,OR,Private NonProfit,34800.0,28500.0,52700.0,61900.0,78.02,87.11
Gwynedd Mercy University,PA,Private NonProfit,48000.0,27800.0,56500.0,30600.0,51.41,84.25
La Roche College,PA,Private NonProfit,35900.0,23200.0,42800.0,25000.0,55.38999999999999,67.7
East Stroudsburg University of Pennsylvania,PA,Public,35300.0,19700.0,47200.0,27400.0,57.34,72.13000000000002
University of Pennsylvania,PA,Private NonProfit,91200.0,80000.0,131600.0,147600.0,95.26,98.23
Lincoln University,PA,Public,26900.0,17000.0,36200.0,22500.0,43.46,72.63
Muhlenberg College,PA,Private NonProfit,45400.0,25800.0,65300.0,38100.0,83.25,90.21
United States Merchant Marine Academy,NY,Public,78600.0,45500.0,98600.0,59300.0,76.49000000000002,93.36
SUNY College at Oswego,NY,Public,35800.0,21000.0,47100.0,31500.0,65.7,81.03
School of Visual Arts,NY,Private ForProfit,34800.0,27800.0,47800.0,39400.0,63.87000000000001,86.08
University of North Carolina at Asheville,NC,Public,30000.0,18500.0,38800.0,26200.0,62.03,78.2
University of North Carolina School of the Arts,NC,Public,28100.0,22700.0,46700.0,64100.0,61.78,84.85000000000002
Wake Forest University,NC,Private NonProfit,62900.0,82900.0,79600.0,58600.0,88.33,94.7
North Dakota State University-Main Campus,ND,Public,45200.0,27300.0,55500.0,38300.0,55.50000000000001,79.64
Heidelberg University,OH,Private NonProfit,33600.0,21700.0,45700.0,32300.0,48.8,78.23
Notre Dame College,OH,Private NonProfit,37000.0,22200.0,43900.0,25300.0,34.55,62.43
Oklahoma City University,OK,Private NonProfit,40700.0,28400.0,51100.0,39300.0,59.05,79.69000000000003
Linfield College-McMinnville Campus,OR,Private NonProfit,52100.0,30200.0,60300.0,36100.0,70.27,81.86
Alvernia University,PA,Private NonProfit,38500.0,22600.0,47300.0,26200.0,52.58000000000001,81.55
Oregon State University,OR,Public,42700.0,36600.0,56700.0,43300.0,63.33,83.35000000000002
The Art Institute of Philadelphia,PA,Private ForProfit,26400.0,19900.0,34900.0,31000.0,33.7,43.27
University of Portland,OR,Private NonProfit,54900.0,28700.0,62500.0,35400.0,81.76,91.29
Lafayette College,PA,Private NonProfit,58400.0,29800.0,80500.0,54200.0,89.03999999999998,93.59
Pennsylvania State University-Penn State Worthington Scranton,PA,Public,43600.0,27400.0,57200.0,41900.0,39.0,73.76
Moore College of Art and Design,PA,Private NonProfit,29000.0,17700.0,36600.0,26900.0,57.14,72.92
The University of the Arts,PA,Private NonProfit,26600.0,18700.0,39100.0,51600.0,61.98,82.92
Pennsylvania State University-Penn State Beaver,PA,Public,43600.0,27400.0,57200.0,41900.0,47.21,78.47
University of the Sciences,PA,Private NonProfit,74900.0,40900.0,92400.0,51700.0,69.59,84.83000000000001
Lycoming College,PA,Private NonProfit,36400.0,22000.0,49400.0,27500.0,71.67999999999998,78.96
Neumann University,PA,Private NonProfit,38800.0,24900.0,47200.0,27500.0,53.56,68.75
University of Pittsburgh-Greensburg,PA,Public,44300.0,36600.0,61200.0,42400.0,58.44000000000001,79.17
Pennsylvania State University-Penn State Hazleton,PA,Public,43600.0,27400.0,57200.0,41900.0,50.55,81.39
Pennsylvania State University-Penn State New Kensington,PA,Public,43600.0,27400.0,57200.0,41900.0,49.11,74.19
Robert Morris University,PA,Private NonProfit,40400.0,23000.0,53100.0,36500.0,61.27,79.65
Susquehanna University,PA,Private NonProfit,40200.0,23000.0,60900.0,40600.0,73.63,83.33
Providence College,RI,Private NonProfit,51800.0,40700.0,73400.0,49500.0,83.3,93.22
Saint Vincent College,PA,Private NonProfit,40800.0,23500.0,52100.0,28000.0,72.75,82.66
Roger Williams University,RI,Private NonProfit,44100.0,22500.0,56000.0,42100.0,63.63999999999999,83.38
Erskine College,SC,Private NonProfit,33400.0,21000.0,41500.0,27300.0,63.19000000000001,60.83
Presentation College,SD,Private NonProfit,38600.0,23100.0,38100.0,22400.0,40.38,59.43000000000001
Columbia International University,SC,Private NonProfit,27900.0,20700.0,31400.0,21200.0,73.83,75.82
Austin Peay State University,TN,Public,31400.0,20400.0,38800.0,28000.0,38.16,66.03
Memphis College of Art,TN,Private NonProfit,22800.0,15200.0,28300.0,18500.0,57.33000000000001,78.48
Baylor University,TX,Private NonProfit,46600.0,45800.0,58400.0,44300.0,74.03,89.05999999999997
Trevecca Nazarene University,TN,Private NonProfit,40700.0,26500.0,49000.0,39100.0,48.72,81.62
Texas A & M International University,TX,Public,36000.0,23100.0,46700.0,28500.0,41.45,77.59
Columbia College Chicago,IL,Private NonProfit,29500.0,20500.0,39200.0,29900.0,44.55,70.45
Concordia University-Chicago,IL,Private NonProfit,38700.0,23200.0,42700.0,23600.0,47.52,65.64999999999999
Lincoln Christian University,IL,Private NonProfit,28100.0,19500.0,37000.0,28600.0,61.31999999999999,57.14
Southern Illinois University-Edwardsville,IL,Public,39600.0,25200.0,50800.0,41000.0,47.92,72.41
Saint Xavier University,IL,Private NonProfit,41400.0,23800.0,50600.0,30100.0,51.02,73.87
University of Illinois at Springfield,IL,Public,38500.0,26000.0,49900.0,32400.0,49.83000000000001,73.48
Trinity International University-Illinois,IL,Private NonProfit,35400.0,24600.0,45400.0,33300.0,58.24,62.16
Millikin University,IL,Private NonProfit,34900.0,19800.0,47200.0,29200.0,60.040000000000006,71.89999999999998
The Illinois Institute of Art-Chicago,IL,Private ForProfit,29400.0,19300.0,38200.0,27400.0,33.15,44.29
Roosevelt University,IL,Private NonProfit,39700.0,26600.0,47700.0,32700.0,40.33,57.14
Indiana Wesleyan University-Marion,IN,Private NonProfit,47700.0,29300.0,56200.0,41000.0,65.24,82.14
Indiana University-Purdue University-Indianapolis,IN,Public,39900.0,25100.0,50700.0,49100.0,46.29,74.22
University of Evansville,IN,Private NonProfit,40700.0,22300.0,48800.0,43300.0,69.25,88.72
Indiana University-Bloomington,IN,Public,44200.0,29100.0,57800.0,48400.0,76.39,91.01
Franklin College,IN,Private NonProfit,36000.0,18100.0,46300.0,25800.0,65.74,73.79
Grace College and Theological Seminary,IN,Private NonProfit,32500.0,19600.0,37500.0,27100.0,61.37000000000001,83.38
Holy Cross College,IN,Private NonProfit,33100.0,20600.0,45300.0,34200.0,40.69,59.67
Huntington University,IN,Private NonProfit,32600.0,19300.0,39000.0,24900.0,65.4,81.08999999999997
Saint Mary-of-the-Woods College,IN,Private NonProfit,28300.0,16300.0,31900.0,18700.0,44.94000000000001,71.21
Manchester University,IN,Private NonProfit,33800.0,17500.0,43600.0,28500.0,57.04,58.84
Coe College,IA,Private NonProfit,38700.0,21500.0,50000.0,29300.0,67.23,75.07000000000002
Trine University,IN,Private NonProfit,40000.0,22600.0,49600.0,30600.0,55.83,75.96000000000002
Buena Vista University,IA,Private NonProfit,36000.0,19800.0,42600.0,25500.0,52.83,73.09
Luther College,IA,Private NonProfit,38400.0,21200.0,53200.0,35900.0,78.89,84.11
Maharishi University of Management,IA,Private NonProfit,22900.0,17800.0,30400.0,26500.0,57.78,70.0
Morningside College,IA,Private NonProfit,38000.0,18400.0,47900.0,34600.0,54.09,64.69
Wartburg College,IA,Private NonProfit,40700.0,20500.0,50600.0,30000.0,69.15,79.95
Grinnell College,IA,Private NonProfit,36700.0,26100.0,61000.0,53700.0,85.78,93.44
Kansas Wesleyan University,KS,Private NonProfit,36000.0,21200.0,43300.0,29100.0,35.709999999999994,58.86
Fort Hays State University,KS,Public,36800.0,22100.0,42700.0,30000.0,36.99,71.31
McPherson College,KS,Private NonProfit,37900.0,21400.0,43500.0,29700.0,37.06,70.1
Pittsburg State University,KS,Public,37900.0,21500.0,44400.0,30100.0,48.7,74.51
Sterling College,KS,Private NonProfit,31800.0,19100.0,40500.0,31000.0,44.97,60.71
University of Kansas,KS,Public,45100.0,45500.0,59300.0,55100.0,63.43,80.86
Northern Kentucky University,KY,Public,35200.0,21900.0,41800.0,31300.0,37.62,71.91
Western Kentucky University,KY,Public,30800.0,23200.0,38600.0,32000.0,44.53,72.81
Spalding University,KY,Private NonProfit,38000.0,22600.0,48300.0,30000.0,47.22,73.18
Southern University and A & M College,LA,Public,30800.0,20100.0,39600.0,27200.0,29.23,61.94
Louisiana State University and Agricultural & Mechanical College,LA,Public,45000.0,39600.0,60100.0,55900.0,67.97999999999999,82.78999999999998
University of Maine at Presque Isle,ME,Public,27600.0,16400.0,35300.0,23400.0,37.5,62.57
University of New England,ME,Private NonProfit,41200.0,27800.0,51000.0,37100.0,57.58,81.22
Bowie State University,MD,Public,34200.0,20700.0,48700.0,30400.0,37.17,75.13
American International College,MA,Private NonProfit,41700.0,25000.0,50000.0,29900.0,43.87,69.14
Emmanuel College,MA,Private NonProfit,39500.0,20900.0,54400.0,36900.0,66.86,80.17999999999998
Salisbury University,MD,Public,40000.0,21800.0,54200.0,34400.0,68.58999999999999,84.32
Bridgewater State University,MA,Public,37500.0,20400.0,47900.0,28700.0,58.56,79.71000000000002
Alabama A & M University,AL,Public,28400.0,24000.0,35500.0,25400.0,27.49,57.69
Tuskegee University,AL,Private NonProfit,34500.0,26700.0,42200.0,30400.0,45.79,70.37
Alabama State University,AL,Public,24400.0,15900.0,30600.0,21400.0,21.65,62.62
Judson College,AL,Private NonProfit,26300.0,17300.0,29300.0,22400.0,33.33,67.74
University of West Alabama,AL,Public,29700.0,20600.0,40400.0,26800.0,31.05,65.71000000000001
University of South Alabama,AL,Public,35100.0,24100.0,46800.0,45500.0,37.73,73.2
Spring Hill College,AL,Private NonProfit,34800.0,20000.0,51300.0,39500.0,52.81,76.44
Arkansas Tech University,AR,Public,31600.0,21400.0,38600.0,28400.0,35.4,68.8
John Brown University,AR,Private NonProfit,45300.0,39100.0,55400.0,44800.0,64.60000000000001,85.2
Williams Baptist College,AR,Private NonProfit,29300.0,16900.0,36400.0,24700.0,35.22,49.22000000000001
Saint Mary's College of California,CA,Private NonProfit,48600.0,33600.0,63600.0,45900.0,73.2,86.15
Simpson University,CA,Private NonProfit,35100.0,25700.0,39900.0,29100.0,47.13,81.82000000000002
Westmont College,CA,Private NonProfit,38600.0,25000.0,58000.0,43400.0,76.88000000000002,82.34
University of Northern Colorado,CO,Public,35300.0,20300.0,47100.0,32700.0,48.36,70.67
University of Colorado Boulder,CO,Public,42700.0,28400.0,59700.0,50500.0,69.91000000000001,85.85000000000002
Wesleyan University,CT,Private NonProfit,46400.0,44000.0,63400.0,49800.0,91.44,94.45
Delaware State University,DE,Public,30100.0,18000.0,38400.0,24600.0,42.62000000000001,72.72
Clark Atlanta University,GA,Private NonProfit,28400.0,18300.0,38200.0,24700.0,38.36,66.79
Young Harris College,GA,Private NonProfit,29300.0,18300.0,41300.0,29200.0,46.5,60.69
Augustana College,IL,Private NonProfit,41100.0,21500.0,56400.0,32200.0,76.89,88.92
University of Hawaii at Manoa,HI,Public,39000.0,28500.0,51800.0,38900.0,58.16,76.62
The College of Idaho,ID,Private NonProfit,31700.0,18900.0,47300.0,40400.0,56.7,68.16
Savannah College of Art and Design,GA,Private NonProfit,32700.0,23600.0,41400.0,31400.0,67.34,84.69
Valdosta State University,GA,Public,33200.0,20500.0,41600.0,27200.0,36.35,70.95
University of West Georgia,GA,Public,33900.0,20800.0,41700.0,28200.0,41.21,72.34
Hebrew Theological College,IL,Private NonProfit,25800.0,17600.0,26700.0,22100.0,5.35,39.34
University of Illinois at Urbana-Champaign,IL,Public,52300.0,41500.0,70900.0,57000.0,85.2,93.52
University of St Francis,IL,Private NonProfit,47100.0,25600.0,56500.0,32900.0,62.86000000000001,82.32000000000002
Northwestern University,IL,Private NonProfit,71900.0,58100.0,93400.0,92200.0,93.51,97.97
Quincy University,IL,Private NonProfit,34200.0,19500.0,46000.0,39000.0,51.1,64.39
Monmouth College,IL,Private NonProfit,34500.0,17400.0,46500.0,29800.0,55.77,72.96000000000002
Wheaton College,IL,Private NonProfit,39600.0,26800.0,60500.0,73700.0,90.53,95.37
Indiana State University,IN,Public,34400.0,20900.0,42600.0,26700.0,36.77,64.2
Northwestern College,IA,Private NonProfit,36100.0,18500.0,40200.0,24500.0,64.1,81.92
Iowa Wesleyan University,IA,Private NonProfit,32700.0,18800.0,39900.0,22000.0,27.62,49.17
University of Saint Joseph,CT,Private NonProfit,43100.0,23900.0,52900.0,29500.0,63.32,75.36
Central Connecticut State University,CT,Public,40800.0,24700.0,51600.0,36200.0,53.66,77.64999999999998
Barry University,FL,Private NonProfit,43700.0,29600.0,50900.0,33500.0,30.56,65.2
Full Sail University,FL,Private ForProfit,34200.0,26200.0,46000.0,38100.0,41.71,67.34
AI Miami International University of Art and Design,FL,Private ForProfit,27900.0,20100.0,34800.0,26000.0,32.01,53.82
Florida State University,FL,Public,39700.0,32300.0,53900.0,44500.0,80.06,92.58
University of South Florida-Main Campus,FL,Public,39400.0,27400.0,48500.0,35200.0,67.49000000000001,90.06
Mercer University,GA,Private NonProfit,40400.0,25900.0,58200.0,46300.0,66.28,87.56
Hawaii Pacific University,HI,Private NonProfit,41800.0,30000.0,56400.0,38500.0,42.04,64.69
Northwest Nazarene University,ID,Private NonProfit,35000.0,23400.0,46300.0,36000.0,49.01,78.31
Thomas University,GA,Private NonProfit,38700.0,52000.0,37400.0,27400.0,44.19000000000001,50.0
University of Hawaii-West Oahu,HI,Public,38300.0,20000.0,41100.0,27000.0,13.79,70.28999999999999
Truett McConnell University,GA,Private NonProfit,25900.0,18300.0,37100.0,30800.0,38.99,63.29
American Academy of Art,IL,Private NonProfit,27700.0,20000.0,35600.0,30900.0,43.61,76.27000000000002
Knox College,IL,Private NonProfit,31200.0,18200.0,43500.0,25800.0,77.37,86.79
Illinois College,IL,Private NonProfit,34300.0,16900.0,49100.0,38100.0,68.0,77.82
Eureka College,IL,Private NonProfit,33200.0,22500.0,40500.0,30400.0,51.72,69.94
University of the Cumberlands,KY,Private NonProfit,28500.0,18000.0,38200.0,26400.0,42.6,65.59
Xavier University of Louisiana,LA,Private NonProfit,46700.0,54900.0,64500.0,45700.0,41.96,72.22
University of Maine at Augusta,ME,Public,26000.0,17700.0,30600.0,21200.0,11.85,56.49999999999999
Goucher College,MD,Private NonProfit,31800.0,21000.0,55100.0,48100.0,61.86000000000001,78.66
Capitol Technology University,MD,Private NonProfit,53000.0,33300.0,68100.0,43800.0,50.91,73.17
Boston College,MA,Private NonProfit,64900.0,46600.0,92500.0,79600.0,92.5,94.76
Cambridge College,MA,Private NonProfit,36400.0,21200.0,40000.0,27200.0,0.0,37.5
College of Our Lady of the Elms,MA,Private NonProfit,45500.0,25600.0,49600.0,29800.0,64.29,81.32000000000002
Wentworth Institute of Technology,MA,Private NonProfit,54200.0,26000.0,67300.0,42800.0,65.03,83.89999999999998
The New England Conservatory of Music,MA,Private NonProfit,34000.0,30800.0,41200.0,40600.0,81.25,89.53
Wheaton College,MA,Private NonProfit,38300.0,22800.0,55500.0,60900.0,79.11,86.33
Massachusetts College of Art and Design,MA,Public,31200.0,19400.0,40700.0,28200.0,71.89,89.73
Worcester Polytechnic Institute,MA,Private NonProfit,66300.0,30500.0,84600.0,42700.0,86.15,95.06
Newbury College,MA,Private NonProfit,32600.0,18800.0,41200.0,25700.0,41.9,41.85
Cornerstone University,MI,Private NonProfit,37500.0,29300.0,40800.0,31800.0,54.05,81.57
University of Michigan-Dearborn,MI,Public,41800.0,27800.0,56200.0,46800.0,53.790000000000006,74.14
Spring Arbor University,MI,Private NonProfit,38800.0,26700.0,45000.0,30800.0,54.37,77.92999999999998
Wayne State University,MI,Public,37900.0,29300.0,52300.0,53900.0,39.17,81.55
Gustavus Adolphus College,MN,Private NonProfit,43400.0,24400.0,58900.0,41100.0,81.03,89.16
College of Saint Benedict,MN,Private NonProfit,42300.0,18600.0,57000.0,30400.0,84.3,83.39999999999998
University of Minnesota-Morris,MN,Public,34900.0,18800.0,44400.0,27400.0,63.88,77.59
St Olaf College,MN,Private NonProfit,41500.0,25600.0,57300.0,38600.0,88.03,92.27
North Central University,MN,Private NonProfit,29700.0,16800.0,35800.0,25000.0,48.45,75.44999999999997
University of St Thomas,MN,Private NonProfit,48600.0,26300.0,62900.0,41000.0,75.63,88.44999999999997
University of Northwestern-St Paul,MN,Private NonProfit,35200.0,20000.0,43400.0,32100.0,63.19000000000001,82.73
Belhaven University,MS,Private NonProfit,34900.0,23200.0,42900.0,36500.0,36.32,66.91
Mississippi Valley State University,MS,Public,22500.0,15600.0,27200.0,19100.0,31.15,60.42999999999999
Drury University,MO,Private NonProfit,30400.0,22000.0,36200.0,26300.0,57.49999999999999,85.34
Central Methodist University-College of Liberal Arts and Sciences,MO,Private NonProfit,35000.0,25600.0,39500.0,24100.0,46.5,66.43
Northwest Missouri State University,MO,Public,34000.0,19100.0,43700.0,26300.0,50.41,70.65
University of Arkansas,AR,Public,40900.0,30400.0,52700.0,44800.0,64.47,82.44
Arizona State University-Tempe,AZ,Public,42200.0,29100.0,55500.0,44200.0,67.36,85.88
University of Central Arkansas,AR,Public,32600.0,21600.0,42500.0,30000.0,41.68,72.81
Harding University,AR,Private NonProfit,35600.0,22000.0,47000.0,40600.0,63.77,82.22
Biola University,CA,Private NonProfit,38700.0,37400.0,50700.0,39200.0,71.84,83.91999999999999
California Institute of Technology,CA,Private NonProfit,68500.0,63000.0,106300.0,110200.0,93.64,97.92
California State University-Sacramento,CA,Public,41800.0,26500.0,54200.0,38100.0,48.88,81.46
University of California-Davis,CA,Public,45300.0,31400.0,68100.0,52000.0,84.67,92.93
University of California-Riverside,CA,Public,36800.0,25400.0,55300.0,41400.0,72.91,91.12
University of California-Santa Cruz,CA,Public,38400.0,28500.0,53800.0,42700.0,76.94,90.19
La Sierra University,CA,Private NonProfit,43600.0,34800.0,54600.0,40100.0,52.42,75.92999999999998
The Master's University and Seminary,CA,Private NonProfit,38600.0,28900.0,52100.0,43500.0,68.45,88.06
Notre Dame de Namur University,CA,Private NonProfit,49000.0,39400.0,63900.0,48600.0,50.34,82.56
Occidental College,CA,Private NonProfit,40700.0,25600.0,59400.0,48100.0,80.80000000000003,90.52
San Francisco Art Institute,CA,Private NonProfit,28400.0,22300.0,38600.0,32700.0,39.73,49.41
University of Southern California,CA,Private NonProfit,61400.0,63200.0,88800.0,73500.0,92.03,96.37
University of New Haven,CT,Private NonProfit,40500.0,22200.0,54600.0,29200.0,57.11000000000001,80.36999999999998
Western State Colorado University,CO,Public,32500.0,22300.0,43400.0,31400.0,44.98,68.53
Yale University,CT,Private NonProfit,67800.0,53400.0,124400.0,136200.0,97.77,98.53
University of Bridgeport,CT,Private NonProfit,35600.0,23700.0,47100.0,31500.0,29.29,63.79
Mitchell College,CT,Private NonProfit,28200.0,18400.0,34000.0,24700.0,43.86,56.59
Lynn University,FL,Private NonProfit,38600.0,36000.0,46500.0,44400.0,44.76,68.08999999999999
Flagler College-St Augustine,FL,Private NonProfit,34900.0,22400.0,42200.0,27400.0,60.13,71.22
Florida Institute of Technology,FL,Private NonProfit,46900.0,43300.0,61200.0,36500.0,58.28,82.92
Florida International University,FL,Public,41500.0,31100.0,52000.0,36700.0,56.16,87.98
Southeastern University,FL,Private NonProfit,31200.0,20200.0,37900.0,27000.0,40.63,70.96000000000002
Luther Rice College & Seminary,GA,Private NonProfit,41700.0,29900.0,45400.0,26800.0,66.67,50.0
The University of Tampa,FL,Private NonProfit,42300.0,28700.0,55100.0,37500.0,58.63,74.35000000000002
Ringling College of Art and Design,FL,Private NonProfit,36000.0,27800.0,43100.0,37100.0,69.08999999999999,86.89
The University of West Florida,FL,Public,33600.0,20800.0,43400.0,31300.0,48.8,73.65
LaGrange College,GA,Private NonProfit,36100.0,21900.0,45700.0,55100.0,47.4,65.78
Berry College,GA,Private NonProfit,32300.0,18300.0,43900.0,28100.0,65.53999999999999,84.7
Georgia Southwestern State University,GA,Public,32900.0,22600.0,40100.0,28000.0,32.35,69.52000000000001
Georgia College & State University,GA,Public,37500.0,22000.0,45200.0,39400.0,59.4,85.11999999999998
Georgia Southern University,GA,Public,36800.0,26000.0,46100.0,29200.0,51.38,80.82000000000002
Clayton  State University,GA,Public,35900.0,23900.0,42300.0,28300.0,32.39,71.05
Harris-Stowe State University,MO,Public,23800.0,15800.0,30900.0,22000.0,5.56,50.94
William Woods University,MO,Private NonProfit,33100.0,19300.0,40300.0,27800.0,54.39000000000001,74.46000000000002
Western New Mexico University,NM,Public,29400.0,22600.0,35800.0,26500.0,20.17,50.0
Fordham University,NY,Private NonProfit,53600.0,45500.0,67000.0,56600.0,79.62,91.1
CUNY Hunter College,NY,Public,39300.0,28300.0,51800.0,39100.0,53.33,84.59
Nazareth College,NY,Private NonProfit,39500.0,27000.0,45800.0,24600.0,68.74,84.59
Nyack College,NY,Private NonProfit,38500.0,30800.0,46700.0,35200.0,35.03,72.14
Siena College,NY,Private NonProfit,46000.0,24100.0,62300.0,41500.0,74.87,87.38
Stony Brook University,NY,Public,44000.0,31500.0,62600.0,42500.0,72.37,89.17
Barton College,NC,Private NonProfit,31800.0,18400.0,39400.0,20600.0,51.74999999999999,72.02
Belmont Abbey College,NC,Private NonProfit,34600.0,22000.0,44400.0,40900.0,43.65,61.36000000000001
Yeshiva of Nitra Rabbinical College,NY,Private NonProfit,25400.0,23500.0,32200.0,52100.0,16.869999999999994,96.43
SUNY College at Old Westbury,NY,Public,37200.0,24400.0,47500.0,29400.0,43.08,78.75999999999998
SUNY Empire State College,NY,Public,42200.0,36600.0,46800.0,36200.0,21.68,43.68
SUNY Maritime College,NY,Public,66500.0,42500.0,86200.0,57800.0,56.53,85.11
Talmudical Seminary Oholei Torah,NY,Private NonProfit,28000.0,30700.0,30500.0,28600.0,25.0,38.64
East Carolina University,NC,Public,37300.0,27600.0,45800.0,34100.0,60.65000000000001,82.52000000000002
Salem College,NC,Private NonProfit,29800.0,15600.0,37400.0,22400.0,57.33000000000001,82.61
Gardner-Webb University,NC,Private NonProfit,35100.0,22100.0,41600.0,26200.0,44.83,66.52
University of North Carolina at Pembroke,NC,Public,28900.0,18000.0,36400.0,23100.0,36.1,67.19000000000001
Capital University,OH,Private NonProfit,36400.0,20600.0,48400.0,41700.0,59.3,74.78
Case Western Reserve University,OH,Private NonProfit,69900.0,53300.0,89300.0,70300.0,82.14,91.72
Cincinnati Christian University,OH,Private NonProfit,31100.0,20500.0,36800.0,31400.0,41.38,77.66
Baldwin Wallace University,OH,Private NonProfit,39100.0,26200.0,49200.0,28600.0,67.23,80.42
